OTU_id	bin.id.new	bin_id	Taxa	phylum	class	
bin1	OTU62	1	bin1	Ascomycota	Ascomycota	Sordariomycetes
bin2	OTU65	2	bin2	Basidiomycota	Basidiomycota	Agaricomycetes
bin3	OTU71	3	bin3	Basidiomycota	Basidiomycota	Agaricomycetes
bin4	OTU378	4	bin4	Basidiomycota	Basidiomycota	Agaricomycetes
bin5	OTU188	5	bin5	Basidiomycota	Basidiomycota	Agaricomycetes
bin6	OTU26	6	bin6	Basidiomycota	Basidiomycota	Agaricomycetes
bin7	OTU48	7	bin7	Basidiomycota	Basidiomycota	Agaricomycetes
bin8	OTU82	8	bin8	Basidiomycota	Basidiomycota	Tremellomycetes
bin9	OTU180	9	bin9	Others	NA	NA
bin10	OTU14	10	bin10	Basidiomycota	Basidiomycota	NA
bin11	OTU89	11	bin11	Basidiomycota	Basidiomycota	NA
bin12	OTU140	12	bin12	Sordariomycetes	Ascomycota	Sordariomycetes
bin13	OTU3	13	bin13	Ascomycota	Ascomycota	Pezizomycotina_Incertae_sedis
bin14	OTU189	14	bin14	Sordariomycetes	Ascomycota	Sordariomycetes
bin15	OTU40	15	bin15	Sordariomycetes	Ascomycota	Sordariomycetes
bin16	OTU135	16	bin16	Sordariomycetes	Ascomycota	Sordariomycetes
bin17	OTU176	17	bin17	Sordariomycetes	Ascomycota	Sordariomycetes
bin18	OTU6	18	bin18	Sordariomycetes	Ascomycota	Sordariomycetes
bin19	OTU191	19	bin19	Ascomycota	Ascomycota	NA
bin20	OTU421	20	bin20	Sordariomycetes	Ascomycota	Sordariomycetes
bin21	OTU93	21	bin21	Sordariomycetes	Ascomycota	Sordariomycetes
bin22	OTU223	22	bin22	Sordariomycetes	Ascomycota	Sordariomycetes
bin23	OTU17	23	bin23	Sordariomycetes	Ascomycota	Sordariomycetes
bin24	OTU5	24	bin24	Sordariomycetes	Ascomycota	Sordariomycetes
bin25	OTU41	25	bin25	Sordariomycetes	Ascomycota	Sordariomycetes
bin26	OTU20	26	bin26	Sordariomycetes	Ascomycota	Sordariomycetes
bin27	OTU1	27	bin27	Sordariomycetes	Ascomycota	Sordariomycetes
bin28	OTU123	28	bin28	Sordariomycetes	Ascomycota	Sordariomycetes
bin29	OTU331	29	bin29	Ascomycota	Ascomycota	Dothideomycetes
bin30	OTU33	30	bin30	Sordariomycetes	Ascomycota	Sordariomycetes
bin31	OTU216	31	bin31	Sordariomycetes	Ascomycota	Sordariomycetes
bin32	OTU667	32	bin32	Ascomycota	Ascomycota	NA
bin33	OTU104	33	bin33	Ascomycota	Ascomycota	Leotiomycetes
bin34	OTU577	34	bin34	Ascomycota	Ascomycota	Pezizomycotina_Incertae_sedis
bin35	OTU95	35	bin35	Dothideomycetes	Ascomycota	Dothideomycetes
bin36	OTU4	36	bin36	Dothideomycetes	Ascomycota	Dothideomycetes
bin37	OTU45	37	bin37	Dothideomycetes	Ascomycota	Dothideomycetes
bin38	OTU369	38	bin38	Dothideomycetes	Ascomycota	Dothideomycetes
bin39	OTU27	39	bin39	Dothideomycetes	Ascomycota	Dothideomycetes
bin40	OTU38	40	bin40	Dothideomycetes	Ascomycota	Dothideomycetes
bin41	OTU22	41	bin41	Dothideomycetes	Ascomycota	Dothideomycetes
bin42	OTU118	42	bin42	Dothideomycetes	Ascomycota	Dothideomycetes
bin43	OTU353	43	bin43	Ascomycota	Ascomycota	NA
bin44	OTU31	44	bin44	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin45	OTU126	45	bin45	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin46	OTU8	46	bin46	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin47	OTU66	47	bin47	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin48	OTU81	48	bin48	Ascomycota	Ascomycota	NA
bin49	OTU87	49	bin49	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin50	OTU21	50	bin50	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin51	OTU258	51	bin51	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin52	OTU13	52	bin52	Eurotiomycetes	Ascomycota	Eurotiomycetes
bin53	OTU55	53	bin53	Others	Ascomycota	NA
bin54	OTU76	54	bin54	Ascomycota	Ascomycota	NA
bin55	OTU86	55	bin55	Ascomycota	Ascomycota	NA
bin56	OTU106	56	bin56	Others	Ascomycota	Saccharomycetes
bin57	OTU58	57	bin57	Ascomycota	Ascomycota	NA
bin58	OTU51	58	bin58	Others	Zygomycota	Mucoromycotina_Incertae_sedis
bin59	OTU11	59	bin59	Others	NA	NA
bin60	OTU311	60	bin60	Others	Glomeromycota	Glomeromycetes
bin61	OTU403	61	bin61	Others	Zygomycota	Mucoromycotina_Incertae_sedis
bin62	OTU380	62	bin62	Others	NA	NA
bin63	OTU536	63	bin63	Others	NA	NA
bin64	OTU280	64	bin64	Others	NA	NA
bin65	OTU405	65	bin65	Others	Basidiomycota	NA
