type	Taxa	HoS	HoS.within	HoS.pro	abund
1	L	Ascomycota	0.0295859128989322	10.9581542671613	0.0440348605312532	0.871746906849049
2	L	Basidiomycota	0.584374361352665	6.43486652969052	0.869766756500304	4.03201839834472
3	L	Dothideomycetes	12.8391004830847	35.2374522318529	19.1093646848323	24.6345622461113
4	L	Eurotiomycetes	0.245279136427866	4.78582342769626	0.365066732965914	7.76263504317984
5	L	Others	1.02732174925658	17.607219046203	1.52903748834025	1.98582844830619
6	L	Sordariomycetes	52.4618178720648	81.4001452989418	78.08272947683	60.7131407769021
7	R	Ascomycota	0.368646959784542	8.14307737662258	2.30737231170778	4.20598086903985
8	R	Basidiomycota	2.28228501399897	18.3173690161237	14.2848899440393	11.7318946566045
9	R	Dothideomycetes	1.41000711954847	21.6136313112225	8.82527659758396	4.44911959297874
10	R	Eurotiomycetes	1.1625379595325	7.53088803463338	7.27635974728317	13.6040733676367
11	R	Others	0.681269102456647	9.93419492914389	4.26408362284939	2.59584296444055
12	R	Sordariomycetes	10.0721708733698	15.5277958471441	63.0420177765364	63.4130757248409
13	S	Ascomycota	1.29888467418163	4.41831199465304	23.7178000798522	28.6938621360511
14	S	Basidiomycota	0.720669370763019	9.68028798881888	13.1595147738574	6.8829869126464
15	S	Dothideomycetes	1.0192986736467	13.9573926942715	18.6125239936662	7.88566507264469
16	S	Eurotiomycetes	1.19389937774936	7.79753521365363	21.8007551553877	15.217423723132
17	S	Others	0.305601622878464	8.72487538062689	5.58032467361013	4.3781210153229
18	S	Sordariomycetes	0.938059227211749	2.56147905061579	17.1290813236263	36.9407727427753
